UID,Facility_Name,Owner,Lat,Lon,City,County,State,Zipcode,Standard,Type_of_Facility,Congressional_District,Rep,Party,Simple_Status,Status,Source_Name,Source_Link,FRS_ID,dem_frs_id,EIS_ID,TRI_ID,GHGRP_ID,Total_Population_1_Mile,per_People_of_Color_1_Mile,per_Low_Income_1_Mile,per_5_and_Younger_1_Mile,per_65_and_Older_1_Mile,Total_Population_3_Miles,per_People_of_Color_3_Miles,per_Low_Income_3_Miles,per_5_and_Younger_3_Miles,per_65_and_Older_3_Miles,FRS_ID_CAA_Compliance,ECHO_Link_CAA_Compliance,CAA_Compliance_Status,Quarters_of_Past_12_in_Noncompliance,Quarters_of_Past_12_with_High_Priority_Violations,Formal_Enforcement_Actions_within_Past_5_Years,GHGRP_2023_GHG_Emissions_MTCO2e,NEI_2020_CAP_Emissions_tons,NEI_2020_HAP_Emissions_lbs
1118,R S Nelson,Entergy,30.2844,-93.2911,Westlake,Calcasieu Parish,LA,70669,MATS,Coal Power Plant,LA3,"Rep. Clay ""Captain"" Higgins",Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,"110003271049, 110071722476",110003271049,8361211,70669NTRGY3500H,1000513,349,38,48,1,14,9433,13,31,7,19,110003271049,https://echo.epa.gov/detailed-facility-report?fid=110003271049,No Violation Identified,0,0,0,"252,851","6,674","104,477"
1119,Monroe,DTE Electric Company,41.8906,-83.3464,Monroe,Monroe,MI,48161,MATS,Coal Power Plant,MI5,Rep. Tim Walberg,Republican,Other,Say They Have Not Requested Exemption,Planet Detroit Article,https://planetdetroit.org/2025/05/epa-trump-administration-pollution-exemptions/,"110000405927, 110070323284, 110071710486",110000405927,7888311,48161DTRTD3500E,1000676,34514,11,33,7,18,6194,18,45,7,11,110000405927,https://echo.epa.gov/detailed-facility-report?fid=110000405927,High Priority Violation,12,12,1,"11,413,347","11,402","115,070"
1120,Clay Boswell,"Allete, Inc.",47.2611,-93.6528,Cohasset,Itasca,MN,55721,MATS,Coal Power Plant,MN8,Rep. Pete Stauber,Republican,No Information,No Information,,,110041028492,110041028492,6173211,55721BSWLL1200N,0,166,16,38,13,20,1876,11,29,10,23,110041028492,https://echo.epa.gov/detailed-facility-report?fid=110041028492,No Violation Identified,0,0,0,#N/A,"5,162","63,604"
1121,Allen S King,Northern States Power Co - Minnesota,45.0300,-92.7786,Bayport,Washington,MN,55003,MATS,Coal Power Plant,MN4,Rep. Betty McCollum,Democrat,No Information,No Information,,,110000423612,110000423612,6772111,55003SKNGG1103K,0,2887,40,18,2,12,22480,16,13,4,19,110000423612,https://echo.epa.gov/detailed-facility-report?fid=110000423612,No Violation Identified,0,0,0,#N/A,"1,182","3,498"
1122,Hawthorn,Evergy Metro,39.1306,-94.4778,Kansas City,Jackson,MO,64120,MATS,Coal Power Plant,MO5,Rep. Emanuel Cleaver,Democrat,No Information,No Information,,,"110017410942, 110040977235",110017410942,7663711,64120HWTHR8700H,0,116,13,19,1,21,29671,50,51,7,9,110017410942,https://echo.epa.gov/detailed-facility-report?fid=110017410942,No Violation Identified,1,0,0,#N/A,"2,114","10,691"
1123,Labadie,Union Electric Co - (Mo),38.5622,-90.8377,Labadie,Franklin,MO,63055,MATS,Coal Power Plant,MO2,Rep. Ann Wagner,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000440470,110000440470,6032111,63055LBDPWNO10L,0,225,4,20,7,22,1958,4,24,8,21,110000440470,https://echo.epa.gov/detailed-facility-report?fid=110000440470,Violation w/in 1 Year,2,0,1,#N/A,"55,894","335,879"
1124,Sioux,Union Electric Co - (Mo),38.9155,-90.2902,West Alton,St Charles,MO,63386,MATS,Coal Power Plant,MO3,Rep. Bob Onder,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110064610292,110064610292,6783411,63386SXPWR8501N,1007202,41,0,20,5,15,3018,26,14,5,21,110064610292,https://echo.epa.gov/detailed-facility-report?fid=110064610292,No Violation Identified,0,0,0,"3,233,285","6,001","16,880"
1125,New Madrid,"Associated Electric Coop, Inc",36.5147,-89.5617,Portageville,New Madrid,MO,63873,MATS,Coal Power Plant,MO8,Rep. Jason Smith,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000606336,110000606336,5363811,63869NWMDRSTJUD,0,24,4,29,4,21,595,26,50,9,13,110000606336,https://echo.epa.gov/detailed-facility-report?fid=110000606336,No Violation Identified,1,0,1,#N/A,"34,060","216,781"
1126,Thomas Hill,"Associated Electric Coop, Inc",39.5522,-92.6381,Huntsville,Randolph,MO,65259,MATS,Coal Power Plant,MO6,Rep. Sam Graves,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000444243,110000444243,6688411,65244THMSHRTE1B,1000716,24,8,33,4,21,220,9,31,5,21,110000444243,https://echo.epa.gov/detailed-facility-report?fid=110000444243,No Violation Identified,0,0,0,"5,958,156","34,290","319,234"
1127,Lon Wright,City Of Fremont - (Ne),41.4281,-96.4623,Fremont,Dodge,NE,68025,MATS,Coal Power Plant,NE1,Rep. Mike Flood,Republican,No Information,No Information,,,110040983308,110040983308,7766111,68025CTYFF2701E,0,4990,11,21,4,21,4990,11,21,4,21,110040983308,https://echo.epa.gov/detailed-facility-report?fid=110040983308,No Violation Identified,0,0,0,#N/A,"2,177","19,399"
1128,Sheldon,Nebraska Public Power District,40.5589,-96.7847,Hallam,Lancaster,NE,68368,MATS,Coal Power Plant,NE1,Rep. Mike Flood,Republican,No Information,No Information,,,110000447785,110000447785,5281111,68368NBRSK4500W,0,61,3,11,10,31,615,4,15,7,29,110000447785,https://echo.epa.gov/detailed-facility-report?fid=110000447785,No Violation Identified,0,0,0,#N/A,"3,183","48,367"
1129,Merrimack,Granite Shore Power,43.1411,-71.4692,Bow,Merrimack,NH,3304,MATS,Coal Power Plant,NH2,Rep. Maggie Goodlander,Democrat,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110071198058,110071198058,12302911,03304PBLCS97RIV,1000729,1845,10,25,7,15,12638,9,23,7,14,110071198058,https://echo.epa.gov/detailed-facility-report?fid=110071198058,High Priority Violation,12,12,3,"171,786",#N/A,#N/A
1130,Schiller,Granite Shore Power,43.0978,-70.7842,Portsmouth,Rockingham,NH,3801,MATS,Coal Power Plant,NH1,Rep. Chris Pappas,Democrat,No Information,No Information,,,110000602991,110000602991,7287811,03801PBLCSGOSLI,1000730,3111,13,28,5,22,23182,11,17,4,24,110000602991,https://echo.epa.gov/detailed-facility-report?fid=110000602991,No Violation Identified,0,0,1,688,54,"1,965"
1131,Four Corners,Arizona Public Service Co,36.6900,-108.4814,Fruitland,San Juan,NM,87416,MATS,Coal Power Plant,NM3,Rep. Teresa Leger Fernandez,Democrat,No Information,No Information,,,110042068473,110042068473,7197711,87416FRCRNCOUNT,0,32,100,63,6,13,285,99,62,7,13,110042068473,https://echo.epa.gov/detailed-facility-report?fid=110042068473,High Priority Violation,12,12,0,#N/A,"9,203","25,626"
1132,Roxboro,Duke Energy Progress - (Nc),36.4833,-79.0731,Semora,Person,NC,27343,MATS,Coal Power Plant,NC13,Rep. Brad Knott,Republican,No Information,No Information,,,110000346386,110000346386,7826011,27343RXBRS1700D,0,93,25,21,1,30,1064,22,20,2,27,110000346386,https://echo.epa.gov/detailed-facility-report?fid=110000346386,No Violation Identified,0,0,0,#N/A,"8,053","28,071"
1133,James E. Rogers Energy Complex,"Duke Energy Carolinas, Llc",35.2200,-81.7594,Mooresboro,Cleveland,NC,28114,MATS,Coal Power Plant,NC14,Rep. Tim Moore,Republican,No Information,No Information,,,"110006424404, 110067183755, 110071916550",110006424404,8300611,28024DKNRGDUKEP,0,349,13,23,5,19,4094,14,31,7,17,110006424404,https://echo.epa.gov/detailed-facility-report?fid=110006424404,No Violation Identified,0,0,0,#N/A,"3,898","57,320"
1134,Marshall,"Duke Energy Carolinas, Llc",35.5975,-80.9658,Terrell,Catawba,NC,28682,MATS,Coal Power Plant,NC10,"Rep. Patrick ""Pat"" Harrigan",Republican,No Information,No Information,,,110000351397,110000351397,8370411,28682DKNRG8320E,0,601,4,10,2,26,9653,7,13,4,18,110000351397,https://echo.epa.gov/detailed-facility-report?fid=110000351397,No Violation Identified,4,4,1,#N/A,"11,968","46,323"
1135,Leland Olds,Basin Electric Power Coop,47.2808,-101.3212,Stanton,Mercer,ND,58571,MATS,Coal Power Plant,ND1,Rep. Julie Fedorchak,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000595099,110000595099,8086311,58571LLNDL3901H,0,20,0,30,0,20,181,2,29,3,21,110000595099,https://echo.epa.gov/detailed-facility-report?fid=110000595099,No Violation Identified,0,0,0,#N/A,"8,338","79,522"
1136,Milton R Young,"Minnkota Power Coop, Inc",47.0659,-101.2131,Center,Oliver,ND,58530,MATS,Coal Power Plant,ND1,Rep. Julie Fedorchak,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000428387,110000428387,8087911,58530MLTNR34012,0,9,11,33,0,22,81,10,33,5,22,110000428387,https://echo.epa.gov/detailed-facility-report?fid=110000428387,No Violation Identified,0,0,0,#N/A,"13,221","94,642"
1137,Cardinal,Cardinal Operating Company,40.2522,-80.6486,Brilliant,Jefferson,OH,43913,MATS,Coal Power Plant,OH6,Rep. Michael Rulli,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-further-promote-american-energy/?source=email,110000605426,110000605426,8115711,43913CRDNL306CO,0,811,3,50,3,19,5783,2,43,3,23,110000605426,https://echo.epa.gov/detailed-facility-report?fid=110000605426,No Violation Identified,0,0,3,#N/A,"17,168","34,310"
1138,Kyger Creek,Ohio Valley Electric Corp,38.9144,-82.1289,Cheshire,Gallia,OH,45620,MATS,Coal Power Plant,OH2,Rep. David Taylor,Republican,No Information,No Information,,,"110000395162, 110064603503",110000395162,13432711,45631HVLLY5758O,0,187,5,31,3,22,3439,3,33,2,27,110000395162,https://echo.epa.gov/detailed-facility-report?fid=110000395162,No Violation Identified,1,0,0,#N/A,#N/A,#N/A
1139,Firstenergy Bay Shore,"Walleye Power, Llc",41.6917,-83.4378,Oregon,Lucas,OH,43616,MATS,Coal Power Plant,OH9,Rep. Marcy Kaptur,Democrat,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000384325,110000384325,8302011,43616FRSTN4701B,0,243,11,43,6,33,12784,19,34,7,17,110000384325,https://echo.epa.gov/detailed-facility-report?fid=110000384325,No Violation Identified,0,0,0,#N/A,"3,832","31,784"
1140,Muskogee,Oklahoma Gas & Electric Co,35.7614,-95.2873,Muskogee,Muskogee,OK,74403,MATS,Coal Power Plant,OK2,Rep. Josh Brecheen,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000860854,110000860854,8506011,74434MSKGG5501T,0,398,36,53,5,15,11861,43,37,6,17,110000860854,https://echo.epa.gov/detailed-facility-report?fid=110000860854,No Violation Identified,3,3,0,#N/A,"9,520","35,716"
1141,Seward,Seward Generating Llc,40.4063,-79.0337,New Florence,Indiana,PA,15944,MATS,Coal Power Plant,PA14,Rep. Guy Reschenthaler,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110006623519,110006623519,3005111,15944SWRDS595PL,0,272,5,34,3,28,2245,4,34,5,26,110006623519,https://echo.epa.gov/detailed-facility-report?fid=110006623519,No Violation Identified,0,0,2,#N/A,"9,159","22,197"
1142,Wateree,"Dominion Energy South Carolina, Inc",33.8264,-80.6228,Eastover,Richland,SC,29044,MATS,Coal Power Plant,SC6,"Rep. James ""Jim"" Clyburn",Democrat,No Information,No Information,,,110015337198,110015337198,7126411,29044STHCR142WA,1000911,154,62,49,5,17,1096,57,46,5,17,110015337198,https://echo.epa.gov/detailed-facility-report?fid=110015337198,No Violation Identified,0,0,0,"1,642,568",771,"13,957"
1143,Williams,"South Carolina Genertg Co, Inc",33.0158,-79.9297,Goose Creek,Berkeley,SC,29445,MATS,Coal Power Plant,SC1,Rep. Nancy Mace,Republican,No Information,No Information,,,"110000353509, 110071216204",110000353509,8306711,29445WLLMS2242B,1000912,317,18,6,5,6,2860,30,16,3,6,110000353509,https://echo.epa.gov/detailed-facility-report?fid=110000353509,No Violation Identified,1,0,1,"2,024,628","3,235","72,481"
1144,Cumberland,Tennessee Valley Authority,36.3903,-87.6539,Cumberland City,Stewart,TN,37050,MATS,Coal Power Plant,TN7,Rep. Mark Green,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000493127,110000493127,4979311,37050STVCM815CU,0,166,18,37,12,16,1453,16,38,10,17,110000493127,https://echo.epa.gov/detailed-facility-report?fid=110000493127,High Priority Violation,12,12,1,#N/A,"16,511","354,424"
1145,Gallatin,Tennessee Valley Authority,36.3156,-86.4006,Gallatin,Sumner,TN,37066,MATS,Coal Power Plant,TN6,Rep. John Rose,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000493136,110000493136,5610411,37066STVGL1499S,1007790,584,30,35,21,14,6310,16,25,12,14,110000493136,https://echo.epa.gov/detailed-facility-report?fid=110000493136,No Violation Identified,0,0,0,"4,208,774","2,945","16,800"
1146,W A Parish,Nrg Texas Power Llc,29.4828,-95.6311,Richmond,Fort Bend,TX,77469,MATS,Coal Power Plant,TX22,Rep. Troy Nehls,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000608254,110000608254,3968411,77481WPRSHYUJON,0,107,50,15,1,21,1013,49,15,1,21,110000608254,https://echo.epa.gov/detailed-facility-report?fid=110000608254,No Violation Identified,1,0,3,#N/A,"34,924","448,637"
1147,John E Amos,Appalachian Power Co,38.4731,-81.8233,Winfield,Putnam,WV,25213,MATS,Coal Power Plant,WV1,Rep. Carol Miller,Republican,No Information,No Information,,,"110042086505, 110071722385",110071722385,13396811,25213JHNMS1530W,1000967,1216,1,37,7,18,9420,5,34,5,18,110071722385,https://echo.epa.gov/detailed-facility-report?fid=110071722385,No Violation Identified,0,0,0,"8,750,974",#N/A,#N/A
1148,Firstenergy Fort Martin Power Station,Monongahela Power Co,39.7108,-79.9275,Maidsville,Monongalia,WV,26541,MATS,Coal Power Plant,WV2,Rep. Riley Moore,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110043799501,110043799501,6773611,26541FRTMRRTE53,1000971,430,8,34,3,11,7569,9,26,6,13,110043799501,https://echo.epa.gov/detailed-facility-report?fid=110043799501,No Violation Identified,0,0,0,"4,078,178","12,915","33,442"
1149,Firstenergy Harrison Power Station,Monongahela Power Co,39.3842,-80.3325,Shinnston,Harrison,WV,26431,MATS,Coal Power Plant,WV2,Rep. Riley Moore,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,"110000586125, 110064595914",110000586125,6271711,26366HRRSNRTE20,1007793,299,3,32,7,22,4745,7,31,6,20,110000586125,https://echo.epa.gov/detailed-facility-report?fid=110000586125,No Violation Identified,0,0,0,"11,179,958","19,663","92,645"
1150,Mitchell,Kentucky Power Co,39.8297,-80.8153,Moundsville,Marshall,WV,26041,MATS,Coal Power Plant,WV2,Rep. Riley Moore,Republican,No Information,No Information,,,"110013725077, 110063232078, 110070637342",110063232078,6902311,26041KMMRPRTE2X,1000976,223,3,30,4,9,2641,4,36,5,16,110063232078,https://echo.epa.gov/detailed-facility-report?fid=110063232078,No Violation Identified,0,0,0,"3,581,212","3,084","27,991"
1151,Mt Storm,Virginia Electric & Power Co,39.2008,-79.2636,Mount Storm,Grant,WV,26739,MATS,Coal Power Plant,WV2,Rep. Riley Moore,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110045653253,110045653253,6257011,26739MTSTRHC76B,1000977,23,13,22,4,26,281,11,29,7,22,110045653253,https://echo.epa.gov/detailed-facility-report?fid=110045653253,No Violation Identified,0,0,0,"3,562,292","7,326","64,182"
1152,Weston,Wisconsin Public Service Corp,44.8606,-89.6553,Rothschild,Marathon,WI,54474,MATS,Coal Power Plant,WI7,Rep. Tom Tiffany,Republican,No Information,No Information,,,"110043779783, 110038842054",110043779783,7078511,54474WSTNP2501M,1000986,918,8,15,5,20,13480,8,13,7,15,110043779783,https://echo.epa.gov/detailed-facility-report?fid=110043779783,Violation w/in 1 Year,6,0,0,"3,030,740","2,888","35,681"
1153,Manitowoc,Manitowoc Public Utilities,44.0820,-87.6558,Manitowoc,Manitowoc,WI,54220,MATS,Coal Power Plant,WI6,Rep. Glenn Grothman,Republican,No Information,No Information,,,110000421384,110000421384,7179611,54221MNTWC1303S,0,7858,27,44,6,14,28147,17,36,6,19,110000421384,https://echo.epa.gov/detailed-facility-report?fid=110000421384,No Violation Identified,0,0,0,#N/A,415,"14,878"
1154,Dave Johnston,Pacificorp,42.8378,-105.7769,Glenrock,Converse,WY,82637,MATS,Coal Power Plant,WY1,Rep. Harriet Hageman,Republican,No Information,No Information,,,110013320245,110013320245,6418211,82637PCFCR1591T,1000990,29,3,31,7,17,1149,5,27,7,17,110013320245,https://echo.epa.gov/detailed-facility-report?fid=110013320245,No Violation Identified,0,0,1,"4,166,695","19,496","52,991"
1155,John P Madgett,Dairyland Power Coop,44.3036,-91.9126,Alma,Buffalo,WI,54610,MATS,Coal Power Plant,WI3,Rep. Derrick Van Orden,Republican,No Information,No Information,,,"110067215463, 110071095360, 110000422560",110000422560,4958511,54610DRYLN500OL,1000995,113,7,17,1,30,910,6,16,2,30,110000422560,https://echo.epa.gov/detailed-facility-report?fid=110000422560,No Violation Identified,0,0,0,"1,546,538","1,865","37,506"
1156,James H Miller Jr,Alabama Power Co,33.6319,-87.0597,Quinton,Jefferson,AL,35130,MATS,Coal Power Plant,AL7,Rep. Terri Sewell,Democrat,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110043792651,110043792651,1003111,35130LBMPW4250P,1007227,153,15,30,4,27,1822,12,33,4,25,110043792651,https://echo.epa.gov/detailed-facility-report?fid=110043792651,High Priority Violation,12,12,0,"16,558,381","11,898","76,872"
1157,East Bend,Duke Energy Kentucky Inc,38.9036,-84.8514,Union,Boone,KY,41091,MATS,Coal Power Plant,KY4,Rep. Thomas Massie,Republican,Other,Say They Have Not Requested Exemption,Louisiville Public Radio article,https://www.lpm.org/investigate/2025-04-29/why-two-kentucky-utilities-sought-coal-pollution-exemption-from-trump-but-others-didnt,110006497585,110006497585,6040811,41091CGGSTRT338,0,227,1,37,2,21,2271,4,34,4,21,110006497585,https://echo.epa.gov/detailed-facility-report?fid=110006497585,No Violation Identified,0,0,0,#N/A,"3,932","56,569"
1158,Craig,"Tri-State G & T Assn, Inc",40.4627,-107.5912,Craig,Moffat,CO,81626,MATS,Coal Power Plant,CO3,Rep. Jeff Hurd,Republican,Received Exemption,Received Exemption,July 2025 Proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/regulatory-relief-for-certain-stationary-sources-to-further-promote-american-energy/,110041086393,110041086393,1839711,81626TRSTT2201R,1001008,28,7,21,4,29,188,7,22,3,28,110041086393,https://echo.epa.gov/detailed-facility-report?fid=110041086393,No Violation Identified,0,0,0,"5,306,621","11,685","102,415"
1159,Coal Creek,Rainbow Energy Center,47.3777,-101.1571,Underwood,McLean,ND,58576,MATS,Coal Power Plant,ND1,Rep. Julie Fedorchak,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000494563,110000494563,8011011,58576GRTRV28753,0,14,7,14,0,29,127,5,16,2,25,110000494563,https://echo.epa.gov/detailed-facility-report?fid=110000494563,No Violation Identified,0,0,0,#N/A,"16,086","128,848"
1160,H L Spurlock,"East Kentucky Power Coop, Inc",38.7000,-83.8181,Maysville,Mason,KY,41056,MATS,Coal Power Plant,KY4,Rep. Thomas Massie,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110012142127,110012142127,7335511,41056SPRLCRTE8X,0,325,11,50,12,25,2282,8,44,8,24,110012142127,https://echo.epa.gov/detailed-facility-report?fid=110012142127,No Violation Identified,0,0,0,#N/A,"10,343","138,620"
1161,Big Cajun 2,Louisiana Generating Llc,30.7261,-91.3692,Ventress,Pointe Coupee,LA,70783,MATS,Coal Power Plant,LA6,Rep. Cleo Fields,Democrat,No Information,No Information,,,110000449792,110000449792,8020711,70760BGCJN9951C,1001016,203,28,22,4,12,1621,31,27,6,13,110000449792,https://echo.epa.gov/detailed-facility-report?fid=110000449792,No Violation Identified,0,0,0,"2,106,119","2,277","20,890"
1162,Nearman Creek,City Of Kansas City - (Ks),39.1681,-94.6975,Kansas City,Wyandotte,KS,66104,MATS,Coal Power Plant,KS2,Rep. Derek Schmidt,Republican,No Information,No Information,,,110000445340,110000445340,4633811,66104NRMNC4240N,0,1578,72,45,9,6,33395,63,40,9,14,110000445340,https://echo.epa.gov/detailed-facility-report?fid=110000445340,No Violation Identified,0,0,0,#N/A,"3,344","27,398"
1163,Iatan,Evergy Metro,39.4472,-94.9800,Weston,Platte,MO,64098,MATS,Coal Power Plant,MO6,Rep. Sam Graves,Republican,No Information,No Information,,,"110042630542, 110070047859",110042630542,6795111,64098TNGNR20250,0,9,0,22,11,11,418,3,14,5,16,110042630542,https://echo.epa.gov/detailed-facility-report?fid=110042630542,No Violation Identified,2,0,0,#N/A,"3,948","20,044"
1164,Jeffrey Energy Center,"Evergy Kansas Central, Inc",39.2865,-96.1172,Saint Marys,Pottawatomie,KS,66536,MATS,Coal Power Plant,KS1,Rep. Tracey Mann,Republican,No Information,No Information,,,110006011680,110006011680,5406811,66536JFFRY25905,0,48,15,40,13,2,431,14,40,13,3,110006011680,https://echo.epa.gov/detailed-facility-report?fid=110006011680,No Violation Identified,0,0,0,#N/A,"13,508","24,076"
1165,Trimble County,Louisville Gas & Electric Co,38.5847,-85.4117,Bedford,Trimble,KY,40006,MATS,Coal Power Plant,KY4,Rep. Thomas Massie,Republican,Other,Say They Have Not Requested Exemption,Louisiville Public Radio article,https://www.lpm.org/investigate/2025-04-29/why-two-kentucky-utilities-sought-coal-pollution-exemption-from-trump-but-others-didnt,110000377814,110000377814,5742811,40006LSVLL487CO,0,135,7,27,10,16,1181,7,32,9,17,110000377814,https://echo.epa.gov/detailed-facility-report?fid=110000377814,No Violation Identified,0,0,0,#N/A,"7,580","117,439"
1166,Colstrip,Talen Montana Llc,45.8831,-106.6140,Colstrip,Rosebud,MT,59323,MATS,Coal Power Plant,MT2,Rep. Troy Downing,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110041982520,110041982520,7765611,59323MNTNPWILLO,1001020,1292,27,17,3,7,2043,24,19,2,8,110041982520,https://echo.epa.gov/detailed-facility-report?fid=110041982520,No Violation Identified,0,0,0,"10,967,111","13,988","110,565"
1167,Gerald Gentleman,Nebraska Public Power District,41.0808,-101.1408,Sutherland,Lincoln,NE,69165,MATS,Coal Power Plant,NE3,Rep. Adrian Smith,Republican,No Information,No Information,,,110000606522,110000606522,7766511,69165GRLDGSHWY2,0,13,8,15,0,23,118,9,14,3,25,110000606522,https://echo.epa.gov/detailed-facility-report?fid=110000606522,No Violation Identified,0,0,0,#N/A,"30,574","599,341"
1168,Sherburne County,Northern States Power Co - Minnesota,45.3808,-93.8931,Becker,Sherburne,MN,55308,MATS,Coal Power Plant,MN6,Whip Tom Emmer,Republican,No Information,No Information,,,110000424700,110000424700,6990811,55308NRTHR13999,0,391,7,14,6,11,4391,4,10,8,13,110000424700,https://echo.epa.gov/detailed-facility-report?fid=110000424700,No Violation Identified,0,0,0,#N/A,"13,236","56,167"
1169,Sooner,Oklahoma Gas & Electric Co,36.4531,-97.0528,Red Rock,Noble,OK,74651,MATS,Coal Power Plant,OK3,Rep. Frank Lucas,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110000598611,110000598611,8519411,74651SNRGNHWY15,0,20,55,45,5,25,176,50,42,7,23,110000598611,https://echo.epa.gov/detailed-facility-report?fid=110000598611,No Violation Identified,1,0,0,#N/A,"4,594","29,359"
1170,Nebraska City,Omaha Public Power District,40.6214,-95.7764,Nebraska City,Otoe,NE,68410,MATS,Coal Power Plant,NE3,Rep. Adrian Smith,Republican,No Information,No Information,,,110000606489,110000606489,7303711,68410MHPBLRR3XX,1001026,53,17,34,4,23,773,22,37,5,19,110000606489,https://echo.epa.gov/detailed-facility-report?fid=110000606489,Violation w/in 1 Year,1,0,0,"5,925,043","22,189","152,471"
1171,Big Stone,Otter Tail Power Co,45.3037,-96.5101,Big Stone City,Grant,SD,57216,MATS,Coal Power Plant,SD1,Rep. Dusty Johnson,Republican,Received Exemption,Received Exemption,Annex 1,https://www.epa.gov/system/files/documents/2025-04/regulatory-relief-for-certain-stationary-annex-1.pdf,110011493437,110011493437,4962811,57216BGSTN48450,0,103,6,30,4,33,1020,5,31,4,31,110011493437,https://echo.epa.gov/detailed-facility-report?fid=110011493437,No Violation Identified,1,0,0,#N/A,"1,915","5,813"
1172,Wyodak,Pacificorp,44.2901,-105.3815,Gillette,Campbell,WY,82718,MATS,Coal Power Plant,WY1,Rep. Harriet Hageman,Republican,No Information,No Information,,,110007334982,110007334982,8041911,82718WYDKP48WYO,0,269,17,42,7,21,1908,16,37,6,21,110007334982,https://echo.epa.gov/detailed-facility-report?fid=110007334982,No Violation Identified,0,0,0,#N/A,"4,987","14,264"
1173,Gibson,"Duke Energy Indiana, Llc",38.3722,-87.7658,Owensville,Gibson,IN,47665,MATS,Coal Power Plant,IN8,Rep. Mark Messmer,Republican,No Information,No Information,,,"110070834810, 110040968860",110070834810,7363111,47670PSNRGHWY64,1001030,84,5,35,12,10,2790,5,42,8,19,110070834810,https://echo.epa.gov/detailed-facility-report?fid=110070834810,No Violation Identified,11,11,1,"8,268,672","30,352","268,141"
1174,Flint Creek,Southwestern Electric Power Co,36.2561,-94.5241,Gentry,Benton,AR,72734,MATS,Coal Power Plant,AR3,Rep. Steve Womack,Republican,No Information,No Information,,,110000452910,110000452910,1015511,72734FLNTC21797,0,270,15,39,3,12,5319,26,38,6,17,110000452910,https://echo.epa.gov/detailed-facility-report?fid=110000452910,No Violation Identified,0,0,0,#N/A,"2,958","55,835"
